Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n010_ds_01.txt	7464.02		7241.244	178.120		0.000	0.000
Geo_n010_ds_02.txt	2790.94		2698.801	68.601		0.000	0.000
Geo_n010_ds_03.txt	3258.22		3085.099	144.503		0.000	0.000
Geo_n010_ds_04.txt	7325.68		7076.438	171.964		0.000	0.000
Geo_n010_ds_05.txt	3978.50		3846.519	134.691		0.000	0.000
Geo_n010_ds_06.txt	2307.74		2163.730	156.656		0.000	0.000
Geo_n010_ds_07.txt	5826.89		5700.917	154.016		0.000	0.000
Geo_n010_ds_08.txt	4356.59		4249.127	156.234		0.000	0.000
Geo_n010_ds_09.txt	7607.69		7527.930	49.875		0.000	0.000
Geo_n010_ds_10.txt	7547.95		7296.022	131.029		0.000	0.000
Geo_n010_ss_01.txt	7186.53		7066.773	114.437		0.000	0.000
Geo_n010_ss_02.txt	2734.52		2633.512	104.876		0.000	0.000
Geo_n010_ss_03.txt	3127.28		3070.463	46.765		0.000	0.000
Geo_n010_ss_04.txt	6822.60		6680.590	78.680		0.000	0.000
Geo_n010_ss_05.txt	3975.38		3797.020	153.401		0.000	0.000
Geo_n010_ss_06.txt	2316.00		2206.006	166.331		0.000	0.000
Geo_n010_ss_07.txt	5979.61		5796.788	153.850		0.000	0.000
Geo_n010_ss_08.txt	4354.57		4173.303	154.626		0.000	0.000
Geo_n010_ss_09.txt	7612.10		7428.025	143.951		0.000	0.000
Geo_n010_ss_10.txt	7313.75		7090.156	172.861		0.000	0.000
Geo_n012_ds_01.txt	1353.11		1277.032	56.264		0.000	0.000
Geo_n012_ds_02.txt	1595.01		1369.276	134.068		0.000	0.000
Geo_n012_ds_03.txt	4500.41		4256.607	179.721		0.000	0.000
Geo_n012_ds_04.txt	3373.24		3117.238	172.698		0.000	0.000
Geo_n012_ds_05.txt	4782.52		4260.076	272.647		0.000	0.000
Geo_n012_ds_06.txt	2751.90		2727.253	31.426		0.000	0.000
Geo_n012_ds_07.txt	2991.06		2793.943	131.349		0.000	0.000
Geo_n012_ds_08.txt	4488.62		4274.168	160.256		0.000	0.000
Geo_n012_ds_09.txt	3627.56		3341.234	174.348		0.000	0.000
Geo_n012_ds_10.txt	1570.84		1481.914	95.154		0.000	0.000
Geo_n012_ss_01.txt	1382.91		1225.729	132.377		0.000	0.000
Geo_n012_ss_02.txt	1592.26		1407.058	203.808		0.000	0.000
Geo_n012_ss_03.txt	4384.86		4257.729	153.542		0.000	0.000
Geo_n012_ss_04.txt	3052.79		2981.538	47.144		0.000	0.000
Geo_n012_ss_05.txt	3979.63		3843.264	85.362		0.000	0.000
Geo_n012_ss_06.txt	2763.05		2545.638	148.461		0.000	0.000
Geo_n012_ss_07.txt	2619.92		2522.381	74.990		0.000	0.000
Geo_n012_ss_08.txt	4315.59		4102.494	116.422		0.000	0.000
Geo_n012_ss_09.txt	3225.93		3107.454	110.746		0.000	0.000
Geo_n012_ss_10.txt	1401.59		1196.266	118.194		0.000	0.000
Geo_n030_ds_01.txt	27359.94		26366.835	701.447		0.000	0.000
Geo_n030_ds_02.txt	25649.18		25104.464	317.355		0.000	0.000
