Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n120_ds_01.txt	111148.35		110543.557	333.991		4.987	0.193
Geo_n120_ds_02.txt	61692.75		61294.535	217.677		4.798	0.079
Geo_n120_ds_03.txt	51765.15		51585.821	125.949		4.701	0.116
Geo_n120_ds_04.txt	80357.46		80055.047	230.338		4.871	0.116
Geo_n120_ds_05.txt	121301.50		120898.991	408.981		5.626	0.602
Geo_n120_ds_06.txt	136223.26		135980.105	169.411		4.972	0.205
Geo_n120_ds_07.txt	108054.46		107186.906	448.346		4.913	0.077
Geo_n120_ds_08.txt	87759.28		87712.753	34.222		4.816	0.089
Geo_n120_ds_09.txt	94579.07		94460.783	74.608		4.769	0.159
Geo_n120_ds_10.txt	65203.26		65116.239	69.517		4.853	0.031
Geo_n120_ss_01.txt	101364.31		101309.663	37.826		2.377	0.015
Geo_n120_ss_02.txt	54701.80		54686.575	22.804		2.523	0.081
Geo_n120_ss_03.txt	47537.92		47502.491	30.383		2.547	0.137
Geo_n120_ss_04.txt	73250.65		73232.639	21.350		2.520	0.137
Geo_n120_ss_05.txt	112362.28		112292.634	48.229		2.504	0.091
Geo_n120_ss_06.txt	125097.16		125029.032	57.780		2.411	0.039
Geo_n120_ss_07.txt	98207.53		98164.353	42.168		2.499	0.070
Geo_n120_ss_08.txt	79721.93		79686.234	42.203		2.568	0.107
Geo_n120_ss_09.txt	86966.16		86943.316	17.102		2.393	0.010
Geo_n120_ss_10.txt	60070.74		60038.030	25.643		3.215	0.106
Geo_n240_ds_01.txt	199813.07		199321.685	600.156		10.354	0.255
Geo_n240_ds_02.txt	346219.65		346082.365	144.347		10.408	0.253
Geo_n240_ds_03.txt	216562.20		216375.390	243.999		10.046	0.166
Geo_n240_ds_04.txt	262475.54		261560.949	783.420		10.074	0.081
Geo_n240_ds_05.txt	312309.11		311942.798	504.235		10.003	0.223
Geo_n240_ds_06.txt	357431.71		356887.831	460.686		10.048	0.095
Geo_n240_ds_07.txt	340698.13		339458.485	1010.780		10.008	0.145
Geo_n240_ds_08.txt	130911.99		130805.859	89.991		10.187	0.301
Geo_n240_ds_09.txt	408933.93		408166.173	914.807		10.134	0.123
Geo_n240_ds_10.txt	354137.19		353678.303	470.087		10.114	0.275
Geo_n240_ss_01.txt	188568.77		188517.762	27.064		5.375	0.217
Geo_n240_ss_02.txt	329697.57		329613.417	49.915		5.183	0.115
Geo_n240_ss_03.txt	206625.30		206605.628	14.685		5.622	0.252
Geo_n240_ss_04.txt	245907.44		245863.127	40.897		5.267	0.159
Geo_n240_ss_05.txt	298109.88		298049.289	47.200		5.462	0.213
Geo_n240_ss_06.txt	337942.31		337813.539	82.928		5.557	0.299
Geo_n240_ss_07.txt	325425.31		325296.903	99.588		5.380	0.240
Geo_n240_ss_08.txt	126793.04		126772.069	22.920		5.176	0.153
Geo_n240_ss_09.txt	390793.44		390728.007	39.519		5.459	0.346
Geo_n240_ss_10.txt	338916.50		338782.719	132.183		5.389	0.198
Geo_n480_ds_01.txt	579800.71		577873.022	1513.349		21.410	0.445
Geo_n480_ds_02.txt	1086954.08		1084363.033	1674.298		21.201	0.218
