Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n120_ds_01.txt	111395.67		110662.421	388.515		12.841	1.206
Geo_n120_ds_02.txt	61379.22		60975.921	337.268		11.468	0.359
Geo_n120_ds_03.txt	51955.21		51455.030	361.883		11.165	0.353
Geo_n120_ds_04.txt	80546.68		80385.441	164.303		11.300	0.286
Geo_n120_ds_05.txt	121107.79		119472.483	818.836		11.380	0.192
Geo_n120_ds_06.txt	136168.09		135916.448	252.144		10.648	0.169
Geo_n120_ds_07.txt	108046.26		107599.858	553.642		10.613	0.088
Geo_n120_ds_08.txt	87867.13		87834.164	38.242		10.644	0.174
Geo_n120_ds_09.txt	95040.92		94408.827	374.147		10.707	0.247
Geo_n120_ds_10.txt	65301.09		65117.872	148.749		10.966	0.267
Geo_n120_ss_01.txt	101380.31		101336.081	26.100		5.853	0.266
Geo_n120_ss_02.txt	54722.98		54708.527	13.193		5.783	0.167
Geo_n120_ss_03.txt	47553.89		47547.697	3.550		5.746	0.203
Geo_n120_ss_04.txt	73331.53		73316.317	17.477		5.689	0.166
Geo_n120_ss_05.txt	112421.87		112365.282	43.089		5.734	0.245
Geo_n120_ss_06.txt	125133.50		125069.018	32.324		5.790	0.075
Geo_n120_ss_07.txt	98266.24		98233.222	27.756		5.706	0.163
Geo_n120_ss_08.txt	79776.51		79736.184	29.193		5.756	0.169
Geo_n120_ss_09.txt	87033.50		87004.628	25.530		5.774	0.102
Geo_n120_ss_10.txt	60114.87		60087.145	27.023		5.739	0.148
Geo_n240_ds_01.txt	200010.13		199258.342	783.746		25.742	0.186
Geo_n240_ds_02.txt	347364.66		345904.456	1617.356		25.584	0.065
Geo_n240_ds_03.txt	216557.69		216062.201	445.502		25.484	0.286
Geo_n240_ds_04.txt	262906.77		262178.327	403.810		25.587	0.043
Geo_n240_ds_05.txt	312535.21		311740.347	648.652		25.452	0.151
Geo_n240_ds_06.txt	357580.49		357286.151	395.612		25.369	0.388
Geo_n240_ds_07.txt	339523.16		338246.897	1106.097		25.544	0.247
Geo_n240_ds_08.txt	130904.27		130894.383	6.740		25.595	0.115
Geo_n240_ds_09.txt	409527.44		409123.458	420.725		25.560	0.075
Geo_n240_ds_10.txt	354097.29		353122.816	531.114		24.643	1.345
Geo_n240_ss_01.txt	188609.33		188573.216	25.771		13.201	0.156
Geo_n240_ss_02.txt	329805.38		329740.161	52.962		13.275	0.098
Geo_n240_ss_03.txt	206761.81		206711.683	31.426		13.286	0.194
Geo_n240_ss_04.txt	245946.41		245912.291	24.030		13.258	0.098
Geo_n240_ss_05.txt	298219.66		298183.658	27.562		13.187	0.129
Geo_n240_ss_06.txt	338040.32		337999.030	25.444		13.304	0.143
Geo_n240_ss_07.txt	325591.64		325458.473	67.865		13.252	0.170
Geo_n240_ss_08.txt	126829.57		126821.348	8.821		13.287	0.189
Geo_n240_ss_09.txt	390860.30		390820.118	42.170		11.977	0.268
Geo_n240_ss_10.txt	338970.46		338887.142	59.409		12.450	0.245
Geo_n480_ds_01.txt	578490.79		575895.910	1321.193		50.647	0.754
Geo_n480_ds_02.txt	1086726.41		1083411.867	1947.339		50.766	0.145
