Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n120_ds_01.txt	111381.99		110863.072	428.538		14.120	0.168
Geo_n120_ds_02.txt	61755.44		61526.501	238.218		14.210	0.166
Geo_n120_ds_03.txt	51937.68		51616.876	230.738		13.995	0.195
Geo_n120_ds_04.txt	80477.53		80420.837	47.160		14.154	0.111
Geo_n120_ds_05.txt	121239.13		120863.148	658.495		13.931	0.087
Geo_n120_ds_06.txt	136344.18		135983.368	272.158		14.455	0.108
Geo_n120_ds_07.txt	108072.92		107675.020	409.339		14.272	0.121
Geo_n120_ds_08.txt	87832.72		87795.793	30.003		14.359	0.206
Geo_n120_ds_09.txt	95072.40		94533.621	428.682		14.143	0.115
Geo_n120_ds_10.txt	65304.51		65117.799	123.046		14.123	0.136
Geo_n120_ss_01.txt	101359.93		101323.482	34.197		7.480	0.143
Geo_n120_ss_02.txt	54712.28		54698.711	11.938		7.337	0.136
Geo_n120_ss_03.txt	47553.37		47518.790	20.024		7.478	0.176
Geo_n120_ss_04.txt	73316.86		73292.628	18.214		7.221	0.116
Geo_n120_ss_05.txt	112389.43		112366.155	16.644		7.304	0.077
Geo_n120_ss_06.txt	125120.93		125031.935	69.980		7.391	0.199
Geo_n120_ss_07.txt	98224.17		98191.384	25.311		7.339	0.146
Geo_n120_ss_08.txt	79745.68		79702.980	34.394		7.232	0.089
Geo_n120_ss_09.txt	87031.46		87009.408	25.185		7.256	0.068
Geo_n120_ss_10.txt	60097.29		60065.115	24.292		7.357	0.096
Geo_n240_ds_01.txt	199782.61		199287.367	497.980		31.035	0.453
Geo_n240_ds_02.txt	347263.27		345757.232	1060.878		30.964	0.351
Geo_n240_ds_03.txt	216575.87		215992.181	980.396		31.132	0.199
Geo_n240_ds_04.txt	262187.23		261600.765	481.610		30.877	0.188
Geo_n240_ds_05.txt	312163.17		311823.898	434.382		30.706	0.236
Geo_n240_ds_06.txt	357491.78		357132.161	383.779		30.524	0.411
Geo_n240_ds_07.txt	340272.76		339209.315	890.099		30.339	0.265
Geo_n240_ds_08.txt	130905.27		130841.257	63.226		30.645	0.269
Geo_n240_ds_09.txt	409337.70		408380.533	1098.750		30.436	0.241
Geo_n240_ds_10.txt	354097.72		353355.219	719.671		30.568	0.319
Geo_n240_ss_01.txt	188574.60		188535.202	25.390		16.011	0.308
Geo_n240_ss_02.txt	329785.76		329703.767	48.195		15.736	0.138
Geo_n240_ss_03.txt	206744.05		206667.530	44.786		15.929	0.191
Geo_n240_ss_04.txt	245931.06		245881.001	35.004		15.703	0.096
Geo_n240_ss_05.txt	298220.46		298194.088	21.709		15.867	0.191
Geo_n240_ss_06.txt	338094.24		337958.158	81.110		15.781	0.251
Geo_n240_ss_07.txt	325473.13		325384.909	71.784		16.211	0.289
Geo_n240_ss_08.txt	126820.62		126799.593	13.881		15.983	0.283
Geo_n240_ss_09.txt	390777.62		390742.566	28.734		15.894	0.231
Geo_n240_ss_10.txt	338901.86		338818.940	63.907		16.010	0.291
Geo_n480_ds_01.txt	578631.24		577715.365	932.412		65.450	0.315
Geo_n480_ds_02.txt	1085968.89		1085324.600	705.827		65.221	0.670
