Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n120_ds_01.txt	222988.35		221413.847	848.515		4.776	0.091
Geo_n120_ds_02.txt	123436.64		123012.678	437.558		4.738	0.009
Geo_n120_ds_03.txt	103822.13		103177.134	635.920		4.654	0.018
Geo_n120_ds_04.txt	160898.68		160820.501	56.101		4.638	0.008
Geo_n120_ds_05.txt	242078.19		238538.466	1845.660		4.613	0.007
Geo_n120_ds_06.txt	272696.25		271885.873	643.884		4.629	0.007
Geo_n120_ds_07.txt	216200.38		215082.668	1306.659		4.607	0.003
Geo_n120_ds_08.txt	175659.36		175520.620	93.047		4.643	0.009
Geo_n120_ds_09.txt	190021.12		189394.365	509.602		4.613	0.004
Geo_n120_ds_10.txt	130660.74		130319.304	244.895		4.623	0.010
Geo_n120_ss_01.txt	202652.24		202596.659	44.834		2.450	0.012
Geo_n120_ss_02.txt	109453.09		109388.599	34.556		2.419	0.014
Geo_n120_ss_03.txt	95106.07		95045.148	41.731		2.411	0.016
Geo_n120_ss_04.txt	146683.06		146567.901	60.884		2.426	0.025
Geo_n120_ss_05.txt	224719.80		224617.403	86.540		2.418	0.006
Geo_n120_ss_06.txt	250167.89		250099.137	58.383		2.412	0.006
Geo_n120_ss_07.txt	196512.12		196439.777	43.895		2.409	0.008
Geo_n120_ss_08.txt	159557.44		159452.465	65.371		2.418	0.010
Geo_n120_ss_09.txt	174056.21		173981.675	54.814		2.412	0.009
Geo_n120_ss_10.txt	120178.82		120115.395	41.428		2.422	0.017
Geo_n240_ds_01.txt	399764.54		399679.584	46.986		10.004	0.011
Geo_n240_ds_02.txt	693042.90		691828.920	1337.552		10.046	0.012
Geo_n240_ds_03.txt	433079.32		432999.815	64.488		10.051	0.041
Geo_n240_ds_04.txt	526039.27		523447.174	2004.881		10.053	0.022
Geo_n240_ds_05.txt	624687.26		624042.301	1156.965		10.010	0.006
Geo_n240_ds_06.txt	715067.08		714275.123	608.263		10.054	0.006
Geo_n240_ds_07.txt	679270.94		677814.383	1269.347		10.025	0.019
Geo_n240_ds_08.txt	261740.50		261726.863	20.355		10.030	0.002
Geo_n240_ds_09.txt	817360.07		817001.913	259.449		9.995	0.006
Geo_n240_ds_10.txt	708270.27		707131.682	1223.732		10.021	0.016
Geo_n240_ss_01.txt	377147.02		377053.800	69.023		5.310	0.050
Geo_n240_ss_02.txt	659443.99		659317.541	103.705		6.880	0.014
Geo_n240_ss_03.txt	413403.18		413328.034	62.902		5.226	0.020
Geo_n240_ss_04.txt	491860.21		491770.605	78.491		5.259	0.017
Geo_n240_ss_05.txt	596250.97		596187.045	61.850		5.247	0.057
Geo_n240_ss_06.txt	675923.84		675851.831	68.917		5.255	0.017
Geo_n240_ss_07.txt	650847.49		650737.204	63.526		6.882	0.038
Geo_n240_ss_08.txt	253589.24		253579.017	6.031		6.874	0.027
Geo_n240_ss_09.txt	781525.10		781451.905	87.597		5.252	0.029
Geo_n240_ss_10.txt	677866.92		677719.068	178.265		5.234	0.014
Geo_n480_ds_01.txt	1161263.23		1159948.897	1362.779		21.330	0.158
Geo_n480_ds_02.txt	2170545.03		2168517.726	1092.327		21.289	0.034
